Tweet,sentiment
"Bueno a aprovechar lo poco que nos queda :(
",-1
"Porque aquí no esta lloviendo? :-(
",-1
"""@_ArevaloFer: Quien quita que vuelva a pasar lo mismo :(""
",-1
"Aaayyyy este calor :(
",-1
"@luzlightning jajajaja yaaaa yo me quedé en la primer temporada de suits creo :(
",-1
"Unas ganas de fumar. :(
",-1
"@latoscano1ra @toscalialove entonces que esperan para grabarlo de una vez :( 😭😭
",-1
"Yo quiero dormir :(
",-1
"@QuarkCraft ojala pudiera :(
",-1
"Alguien que me regale a Ahri de la Academia cuando salga :(.
",-1
"Necesito un re abrazo lo juro, una palabra de aliento dios :(
",-1
"No tengo fuerzas para toser mas :(
",-1
"@l0stInTheIce Vente, ha sobrado un plataco :(
",-1
"Igualito que mis amadas @Chivas en la actualidad :( @GarciaPosti @deportv7 @lopez_sordo  #chivasadescender http://t.co/jXdxMLDpNP
",-1
"me había olvidado lo difícil que es ver a la persona que te gusta desde la vereda de enfrente :(
",-1
"@MarcelineWTF pero pa' siempre? :(
",-1
"Yo si te entregué mi alma en cada latido :(
",-1
"Ay amijo degame en pas. :(
",-1
"Nariz entupido :(
",-1
"Te extraño navarro :(
",-1
"@wlcometothdeath la verdad que si :(
",-1
"@rorenadesu Le iba a dar rt pero me encantan las rubias y las pelirrojas. :-(
",-1
"@Cotte___18 Si, me robaron Madre. :(((
",-1
"Lo que lo extraño :(
",-1
"Estar rodeado de personas y sentirte sólo! :-(
",-1
"Ya me deprimí :(
",-1
"que chucha este partido hueón :( #VamosLaU
",-1
"Necesito alguien con quien ir a ver BOCA al cine :(
",-1
"@bill_tom_tokio A mi tampoco :(
",-1
"@Luismorante94 Ya yo te había terminado cuándo te mandé al sofá mi gordo :(
",-1
"@NicoliasmaTSIAS jajajajajjajajajajajjaa no tuve otra opción :(
",-1
"La primer Lagrima que derrame por ti, :(
",-1
"@rosangelaksc Mrc somos sociaaaas, tienes que compartirlo conmigo :( jajajajajaja.
",-1
"@gperezsandigo omg, es una chica que toma sus propias decisiones, espero no la agarres como juguete :(
",-1
"@zorro_naranjo si, por eso quiero ir. Pero de verdad me perdería :(
",-1
"Para atrás mal , enfermedad de mierda :(
",-1
"Qué rabia :( pero así mola mucho más ver el LoL. #OGWIN
",-1
"@LuiisaMaar yo odio los resúmenes de farma :(
",-1
"@_ambrocio_ SIII JAJAJA la voy hacer calcomania y la voy a pegar en mi teléfono 😂😂 me perdona? :(
",-1
"@Dieguitoou199 bueno perdon :( re bien que no lo leiste Diego jajaja
",-1
"-Abuelita, anoche te desvelaste y hoy madrugaste :(.-Todos los días, nena, todos los días...Ésto es de familia, señores.
",-1
"@FlorecitaMoyano U es de familia entonces :(
",-1
"Por decisiones de última hora de autoridades de @uandresbello se suspende foro de @CienciaContrato el 26 de agosto :( http://t.co/MaxZ9eyOqU
",-1
"No puedo creer que esté por cumplir 20 años :(
",-1
":(((( yo te extrañé, te iba a hablar por osr pero no sabia si lo ibas a ver.
",-1
"Más encima me etiquetaron en puras fotos de la tía, y me dio más pena que la rechuchas :(
",-1
"Le extraño a mi Lu :(
",-1
"@Asaf_goffy Me llegó la indirecta. :(
",-1
"@Nissin_Alvo_R pucha :(
",-1
"eh que los diabéticos también tienen sentimientos :( — Y tu tb por lo q se ve jajajajajajajaja http://t.co/Lp9obOir6v
",-1
"estuve a punto de comprar algo y no me alcanzaba la plata :((
",-1
"@andreacalata_ @ilizette2 Lo se :(
",-1
"feooo. — ves que no respetas :( http://t.co/8nvrVCLVKO
",-1
"@DDZeny no lo se amiga,ojala k pronto... :(
",-1
"Ya me duelen las orejas de ponerme los cascos tanto rato..:(
",-1
"Retweet Si extrañas las notas altas de Zayn :( ..#WeMissYourVoiceZayn.#MTVHottest One Direction http://t.co/UTWTBjQEO6
",-1
"Lo que necesito son como unas chelas 🍻:(.
",-1
"Mi mejoro nunca mas apareció!!! Lo extraño :(
",-1
"@_YessicaSaray tu eres la que me tienes bloquiadaa :(
",-1
"@joseadsm esta bien osi :( ily
",-1
"Baesita :( no duermes?
",-1
"Define frustración :-(.
",-1
"Es que tienen una relación muy bonita y me siento excluido :(
",-1
"No se de que color pintarme las uñas ya :(
",-1
"@jediIouis nooooo en serio? Aw. Te gusto? Yo nunca he ido a Mexico :(((
",-1
"@annlookMDP :( entonces me vas a odiar(? Ahre jajajaja
",-1
"1 y 1 en el fútbol hoy! Igual no supero lo de la Juve :(
",-1
"@Pipee008 Aun sigo pensando que si el Jack Dee no se hubiera retirado, hubiera seguido siendo el rey con el CHR del rap chileno hxc :(
",-1
"Lo quiero :( https://t.co/ihaIBfVsL3
",-1
"@hmiilu jajajaja a listo, quedamos asi entonces.. Sos mala conmigo :( jajaja
",-1
"@majogm noooo! Y del lado que me gusta sentarme :(
",-1
"@FranciscoLarag subes las fotos en las que mejor salgo :(
",-1
"Lo deje De seguir en tw :( es lo mejor.
",-1
":-( #AFF sentido Oeste. Cola Fuerte en San Agustín Del Sur
",-1
"qw mañana empiezo natación :(
",-1
"Todos en pareja en los recreos y yo esperando que vuelva mi gordito de posadas :(
",-1
"@shannengx Lo vi en el stand del hombre de la mancha y en otro más, pero en español :(.
",-1
"Mañana no quiero ir a la escuela :(
",-1
":( me la bajo mucho q mi papa me dga todas esas cosas
",-1
"NO YAPO. SE ME CAY? EL INTERNET, ME CONECTO Y NO EST?... NO VUELVE... NO DA SE?ALES DE VIDA. #fuck :(
",-1
"ariana :((((( 💔
",-1
"y asi extraño ..... :( jejeje sera mmm :v http://t.co/2nG9B5Roiw
",-1
"Como los extraño :( http://t.co/OywnlMZCvP
",-1
"Te extraño bonita :( @HollandfkDroden
",-1
"@iheartcalx POR QUÉ NOS HACEN ESTO?! qué hacemos nosotras?! :(((((((( ohh me dio algo
",-1
"Son Reir no Significa Tah Alegre.! :(
",-1
"MERROR el sabado tengo fiesta,pro trabajo viernes toda la noche...no me sale a cuenta coger un tren de ida y vuelta...:(
",-1
"@FalloutRevenge oh que palo colega :(
",-1
"Prender la ps4 y que el juego no se allá instalado aun falta 4 horas :-( http://t.co/cNRchJzrC6
",-1
"Es increíble como hoyts te empieza a dejar uno o dos horarios a lo sumo de las peliculas que está por sacar de cartelera :(
",-1
"que pasooo .... electronica antes eras chvere :(! Daniel Soto Rodriguez Jonathan Ramos Rodriguez Samuel Cáceres... http://t.co/M9QwmvXkuW
",-1
"Me quedé con lo que me dijo :(
",-1
"ya se muerieron todas :((
",-1
"No peleen amigos eso me pone triste :(
",-1
"... la próxima el que? :(
",-1
"-Ay odio cuando me empiezan a arden los ojos :(
",-1
"@Kozac1 oh no :(( me da mucha tristeza que ese equipo ya no exista, es terrible, era un muy interesante equipo
",-1
"@gavetavoladora 😵😵 una autentica pena :(
",-1
"Igual no tenes tw.. :(
",-1
"Mañana rutina de nuevo :(
",-1
"@MillerReina_ necesito ayuda :(
",-1
"Ayudadnos a difundir las publicaciones por favor, tenemos muchísimos gatos y no hay casi adopciones :(
",-1
"@__bothersome__ JAJA bobi :(
",-1
"Porque no me ama :( https://t.co/9hbuEsFiEc
",-1
"Nunca quiero acabar el tema de educación y ya solo queda un libro al respecto :(
",-1
"Por favor quítese el mandil que deja en ridículo al gremio :( #ett4
",-1
"#PreguntaPisito @mangelrogel bebito, necesito que mandes un saludo al ""mangelsquad"" ¿podes hacerlo? te amo a vos y a johnny, sí :( x146
",-1
"Mi dije de cuarzo rosa al igual que mi corazón, biiiiiiiiiien roto :(
",-1
"@lynaelhamouti @SabrineElMehdi ni cuando hago algo me hablan :(
",-1
"Quiero flips :(
",-1
"Se me perdio la mochila :(
",-1
"@vampsxbtr quiero decirles que los aprecio muchisimo y que siento demasiado cariño y amor por ustedes. Por favor nunca lo olviden :(
",-1
"Tomaron todo el ades :(
",-1
"la verdad queni ganas de ir al cole :(
",-1
"Fua mañana le corto aunque no quiera :( nii pregunten y no digan nada
",-1
"Todo el día con el no quería que se fuera, pero mañana tiene que ir a trabajar :(
",-1
"Hello nena, yo creo que no me AMAS ni un poquito :(
",-1
"@ringerb_ Ya sé. :(
",-1
"@_MaruAramburu owwwww, yo también te extraño nena y mucho :(
",-1
"es que por favor la quiero abrazar :(( http://t.co/G1awlJRioj
",-1
"Dale seguí creyendo en fotos o dándole la razón mientras te cagas en lo qie siento :(
",-1
"@Ache_Zeta Y creen que el compás sirve solamente para hacer círculos. :(
",-1
"5sos es que me alegran la existencia, siempre diciéndonos que tenemos que ser nosotros mismos, siendo tan naturales y bonitos bebés :((
",-1
"@kevinmad10 triste y abandonado :(
",-1
"@iDamnnigga YO MAAAAAAS AMIX :(
",-1
"@NicoLeivaSL Jajaja ya me había rescatado. No sé lo que es ponerme en pedo :(
",-1
"quiero volver a barilocheee :(
",-1
"Quiero un celuuu :(
",-1
"@TomasIron akajajajaja era broma :(
",-1
"Por que estas asi? O es que yo no te conocia lo suficiente :(
",-1
"No quiero que terminen las vacaciones :(
",-1
"Pero ni amigos para festejar viste :(
",-1
"Yo de pequeña dormía con todos los peluches porque creía que si dormía con solo uno los demás se ponían tristes :((.
",-1
"@Josefa_PCasanov por la chet quizas esta por ahi perdido o en la calle o quizas si lo debe tener alguna chamaquita :( pidele ayuda a naruto
",-1
"@AbrahamMateoMus se me va a descargar el teléfono!! Pero quiero twetiarte :( , feliz cumpleaños Abe Te Amamos
",-1
"@luciagr26 lloro mucho :(
",-1
"@MarthamarL se me va a los cachetes :( no engordo never, pero ya me da temor 😔 jaja
",-1
"@NDNA_ g jms compri cmot :(
",-1
"@MiaWaldorffk ya no me amas? :(
",-1
"Mañana al cole y ni que hacer .Dioh sálvame ploks :((((
",-1
"@_Noezoratti quiero q me amen como a vs :(((:((
",-1
"siempre :( https://t.co/hDhUWOUGqo
",-1
"Quiero ir al bowling hace dos años más o menos :( literal
",-1
"@SoyKarolCastro Horrible chama,pero bueno :(
",-1
"@MarianoAguustin dejame en paz :(
",-1
"mi problema cuando voy a hacer la maleta es en pensar qué necesitaré y que querré ponerme y qué zapatos llevarme :(
",-1
"1011 hace mucho no hablamos :(
",-1
"@hellovanu ayudame vanu no puedo , solo por cell yo no tengo :(
",-1
"-Paraaa a quien te comiste?.-A tu hermana..- :(
",-1
"Te amo :( https://t.co/o1iVvd0hph
",-1
"No lo puedo creer :( me duele en el corazón la pérdida de cualquier piloto en cualquier categoría. QEDP http://t.co/g4AAZvVYGq
",-1
"Que pedo con la meli, no la he visto :(
",-1
"Conclusión: ..A mis hijos no le hara falta ver más box y por eso me la voy a pasar en la dirección de la escuela pidiendo disculpas :(
",-1
"que sera de mi vida?, ya termine AHS Freak Show :(
",-1
"Pinto el Bajón todo malll ! :(
",-1
"@MillionDollarJF bb, perdóname! :(
",-1
"nadie me quiere :(
",-1
"Que dia para duro.... #limpieza #casa #mudanza :(
",-1
"Mi helado se derritió :(
",-1
"Que forra lía  :( no me quiero enfermar
",-1
"@abeldito ¡YO QUÉ SÉ! Es que hay veces que te digo algo tanto por mención y sin mención, y parece que no me lees y por eso lo pensaba. :(
",-1
"Quiero uñas largas y es imposible dejar de comerme las uñas :(
",-1
"Puse pibe cantina mientras hago tarea, pasó mi vieja y se me quedó mirando tipo ESTA VILLERA NO ES MI HIJA perdón mamá :(
",-1
"@gines_94 yo se pero no se quedaron raros :(((((
",-1
"Que dolor de todo :(
",-1
"Me dio bien duro... la gripe. :(
",-1
"@LARA_MEXICO @IIJONGUI @LVidegaray no me lo cuentes :(
",-1
"quiero tenerlo conmigo ahora :(
",-1
"En las noticias y que viene una ola de calor a Benesuela. Chamo no, ruego que no :(
",-1
"A estudiar se a dicho! :(
",-1
"De que vale que estés al pendiente de todo lo mio si no me hablas :-(
",-1
"Me acuerdo y me duele bastante :(
",-1
"Soy una boluda! :(
",-1
"@pcastagnoli caique ta no hospital :(
",-1
"@yulimartoyo pero veamos otra :(
",-1
"Creo q soy el peor twitero, perdon :(
",-1
"Hay personas que están en el Camp Mars y yo en mi casa :(
",-1
"@L4URENJERGI estoy aburrida :(
",-1
"Pero por queee :( @MasterChefMx  José Luis :(
",-1
"⭐️ @ownjhoran ⭐️.te seguía desde hace un tiempo y me encanta verte por mi tl, Jack johnson en tu icon sale adorable ok :( me encantas ☺️
",-1
"@Amberawr_ Lo siento :( pero sí saludamos, sólo que si están en menciones pues... 👉👈
",-1
"@luismarchetti llegaste tarde, ya me hiciste sufrir mucho :(
",-1
"@pjmwpk_ En serio, te extraño, es raro no hablar contigo por tanto tiempo. :(
",-1
"Estoy hasta las manos. :(
",-1
"que tristeeeeeeeeeeeeeee JAJAJAJAJ :( https://t.co/eKrwlXtGQC
",-1
"Viste cuando vos pensas que una persona te quiere, pero nada que ver? Bueno asi :(
",-1
"Que rápido término la orquesta de hoy :(
",-1
"Noooo cortaron :( .Igual gracias América xr pensar en nosotras y regalarnos este ratito para ver a @BLanzelottaOK  y gracias a vos bombón!!!
",-1
"No estudie nada :(
",-1
"@21Ortiz_paz hableme :( JAJA
",-1
"Ese incómodo momento en el que te das cuenta que la única canción que te han dedicado es la ""Feliz Cumpleaños"" y de Topo Gigio :(
",-1
"@thebigfroi soy realista :(
",-1
"Con quien mates D: ? me reee aburro :(
",-1
"tengo ganas de un king shake :(
",-1
"@matthunter123 sigueme,porfavor :(
",-1
"@Melacronica ya te conte :( que feo dormir asi 😢
",-1
"Mañana Escuelaaaaa,Noooooooooooo :(
",-1
"@taiana_alonso Si :( JAJAJAJAJA
",-1
"Un párrafo :(
",-1
"@itarodricse no soy bonita :(
",-1
"@cuerdodeatar @joseangel_c_f @laSextaTV No hacen na en la tele q valga un duro :-(
",-1
"Y esa EPS es la que tengo. :(..A hombre de 82 años le programaron cirugía prioritaria para 2018 http://t.co/AveRqPog35 vía @elespectador
",-1
"@ingridboni88 ni me recuerdes :(
",-1
"@Dreamcatcher2_5 armaron combo Serna, Lucía y tú para golpearme en articulación :(
",-1
"No quiero terminar de leer Medicina Basada en Cuentos :(
",-1
"@CatrinAldy esta casado el amigo :(
",-1
"Lo espere todo el dia :( y no lo tuve
",-1
"@martinazueedyk yo te quería pero si vos me odias bueno :(
",-1
"@PamelaCDuran En PDF. Ay mi cabeza :( Mañana veré si compro el tomo 2 en físico at least...BTW tu seleccionaste?
",-1
"@onceinahazztime Pues mejor, asi me haces compañia que me encuentro demasiado sola por mi tl a estas horas :((
",-1
"""Vas hacer la continuación de las notas sucia"" JAJAJAJAJAJAJAJAJ :(
",-1
"@fabianaguirre96 daaaaale que ahora trabajas,comprame dos  galletas aunque sea :( jajaja
",-1
"Mañana es el cumpleaños de viejo :( .
",-1
"#WeMissYourVoiceZayn Se extraña cada solo que cantaste, tu hermoa voz y el sentimiento que le pones :( @zaynmalik http://t.co/KZPxwkF9DD
",-1
"#GuardianesdelaGalaxy recibe un premio Hugo.#Saga es derrotada por MissMarvel :(.#HugoAwards: http://t.co/hugs4QYTes http://t.co/c6PMv4Zg2o""
",-1
"Mi dedo por la ptm :(
",-1
"No he comido odio los domingos :(
",-1
"@nery_reyna Jajajajaja :( pero ya voy a cumplir 18 ✌🏻️
",-1
"Perdió mi @SL_Benfica :(
",-1
"@YBfpdmp Pensé que tenía una oportunidad :(
",-1
"@ximena31_ @jeanbarr21 ni bola nos da :(
",-1
"@NanitaSalvia la próxima decime y te acompaño, amiga. Pensé que habías ido con el Leiño. :(
",-1
"Creamfields que ganas de ir tengoooooooo :(
",-1
"#Tucumanazo, Como no lo voy a recordar !!! :( https://t.co/tW3jgUYOXk
",-1
"DESEARIA TANTO VOLVER AL DIA UNO :( , NO CAIGO TODAVIA
",-1
"@r_hockey y asi fue nomas :( jajajajajaja
",-1
"Momento tierno de Daryl cuando encuentra a Carol. Extrañaba the walking dead. :(
",-1
"Me picaaaa :(.
",-1
